Timestamp (ms),Pressure (PSI),Trigger
16 ms ,14.19 PSI ,0
33 ms ,14.19 PSI ,0
50 ms ,14.19 PSI ,0
66 ms ,14.19 PSI ,0
83 ms ,14.19 PSI ,0
100 ms ,14.19 PSI ,0
117 ms ,14.19 PSI ,0
134 ms ,14.19 PSI ,0
151 ms ,14.19 PSI ,0
167 ms ,14.19 PSI ,0
185 ms ,14.19 PSI ,0
201 ms ,14.19 PSI ,0
219 ms ,14.19 PSI ,0
235 ms ,14.19 PSI ,0
252 ms ,14.19 PSI ,0
269 ms ,14.19 PSI ,0
286 ms ,14.19 PSI ,0
303 ms ,14.19 PSI ,0
320 ms ,14.19 PSI ,0
336 ms ,14.19 PSI ,0
354 ms ,14.19 PSI ,0
370 ms ,14.19 PSI ,0
388 ms ,14.19 PSI ,0
404 ms ,14.19 PSI ,0
421 ms ,14.19 PSI ,0
438 ms ,14.19 PSI ,0
455 ms ,14.19 PSI ,0
472 ms ,14.19 PSI ,0
488 ms ,14.19 PSI ,0
505 ms ,14.19 PSI ,0
522 ms ,14.19 PSI ,0
539 ms ,14.19 PSI ,0
556 ms ,14.19 PSI ,0
573 ms ,14.19 PSI ,0
589 ms ,14.19 PSI ,0
607 ms ,14.19 PSI ,0
623 ms ,14.19 PSI ,0
641 ms ,14.19 PSI ,0
657 ms ,14.19 PSI ,0
674 ms ,14.19 PSI ,0
691 ms ,14.19 PSI ,0
708 ms ,14.19 PSI ,0
724 ms ,14.19 PSI ,0
742 ms ,14.19 PSI ,0
758 ms ,14.19 PSI ,0
776 ms ,14.19 PSI ,0
792 ms ,14.19 PSI ,0
809 ms ,14.19 PSI ,0
826 ms ,14.19 PSI ,0
843 ms ,14.19 PSI ,0
860 ms ,14.19 PSI ,0
877 ms ,14.19 PSI ,0
893 ms ,14.19 PSI ,0
911 ms ,14.19 PSI ,0
927 ms ,14.19 PSI ,0
945 ms ,14.19 PSI ,0
961 ms ,14.19 PSI ,0
978 ms ,14.19 PSI ,0
995 ms ,14.19 PSI ,0
1012 ms ,14.19 PSI ,0
1029 ms ,14.19 PSI ,0
1046 ms ,14.19 PSI ,0
1062 ms ,14.19 PSI ,0
1080 ms ,14.19 PSI ,0
1096 ms ,14.19 PSI ,0
1114 ms ,14.19 PSI ,0
1130 ms ,14.19 PSI ,0
1147 ms ,14.19 PSI ,0
1164 ms ,14.19 PSI ,0
1181 ms ,14.19 PSI ,0
1198 ms ,14.19 PSI ,0
1215 ms ,14.19 PSI ,0
1231 ms ,14.19 PSI ,0
1249 ms ,14.19 PSI ,0
1266 ms ,14.19 PSI ,0
1283 ms ,14.19 PSI ,0
1300 ms ,14.19 PSI ,0
1316 ms ,14.19 PSI ,0
1334 ms ,14.19 PSI ,0
1350 ms ,14.19 PSI ,0
1368 ms ,14.19 PSI ,0
1384 ms ,14.19 PSI ,0
1401 ms ,14.19 PSI ,0
1418 ms ,14.19 PSI ,0
1435 ms ,14.19 PSI ,0
1452 ms ,14.19 PSI ,0
1469 ms ,14.19 PSI ,0
1485 ms ,14.19 PSI ,0
1503 ms ,14.19 PSI ,0
1519 ms ,14.19 PSI ,0
1537 ms ,14.19 PSI ,0
1554 ms ,14.19 PSI ,0
1570 ms ,14.19 PSI ,0
1588 ms ,14.19 PSI ,0
1604 ms ,14.19 PSI ,0
1622 ms ,14.19 PSI ,0
1638 ms ,14.19 PSI ,0
1655 ms ,14.19 PSI ,0
1672 ms ,14.19 PSI ,0
1689 ms ,14.19 PSI ,0
1705 ms ,14.19 PSI ,0
1723 ms ,14.19 PSI ,0
1739 ms ,14.19 PSI ,0
1757 ms ,14.19 PSI ,0
1773 ms ,14.19 PSI ,0
1790 ms ,14.19 PSI ,0
1808 ms ,14.19 PSI ,0
1824 ms ,14.19 PSI ,0
1842 ms ,14.19 PSI ,0
1858 ms ,14.19 PSI ,0
1875 ms ,14.19 PSI ,0
1892 ms ,14.19 PSI ,0
1909 ms ,14.19 PSI ,0
1926 ms ,14.19 PSI ,0
1943 ms ,14.19 PSI ,0
1959 ms ,14.19 PSI ,0
1977 ms ,14.19 PSI ,0
1993 ms ,14.19 PSI ,0
2011 ms ,14.19 PSI ,0
2027 ms ,14.19 PSI ,0
2044 ms ,14.19 PSI ,0
2062 ms ,14.19 PSI ,0
2078 ms ,14.19 PSI ,0
2096 ms ,14.19 PSI ,0
2112 ms ,14.19 PSI ,0
2129 ms ,14.19 PSI ,0
